totalshoppertraffic_visitors,totalshoppertraffic_visits,digital_orders,aal_orders,eup_orders,nao_orders,nse_orders,nso_orders,nsp_orders,npp_orders,total_orders,cust_prospect_ind,visit_device_type,event_dt
301569,348902,5877,1042,3776,897,90,37,16,19,6703,CUSTOMER,All Devices,2/20/19
177510,200889,4292,784,2790,629,47,23,11,8,4825,CUSTOMER,Desktop,2/20/19
25639,32511,95,0,0,15,63,14,2,1,128,PROSPECT,Mobile Phone,2/20/19
351236,401247,1950,213,760,585,255,73,26,38,2436,All Visitors,Mobile Phone,2/20/19
14,16,2,0,2,0,0,0,0,0,2,CUSTOMER,Gaming Console,2/20/19
399642,442292,5645,791,2796,1271,431,90,51,215,6373,All Visitors,Desktop,2/20/19
4206,4958,10,0,0,3,4,1,2,0,12,PROSPECT,Tablet,2/20/19
1,1,0,0,0,0,0,0,0,0,0,UNDETERMINED,E-Reader,2/25/19
78615,92559,864,179,496,123,43,10,5,8,1128,CUSTOMER,Mobile Phone,2/25/19
22099,23739,58,1,2,5,22,11,7,10,75,UNDETERMINED,Tablet,2/25/19
417711,455409,1250,16,40,97,600,149,48,300,1795,UNDETERMINED,All Devices,2/25/19
12712,14173,345,45,256,35,3,4,1,1,411,CUSTOMER,Tablet,2/25/19
755,787,0,0,0,0,0,0,0,0,1,UNDETERMINED,Gaming Console,2/25/19
249361,282362,5304,912,3642,602,86,34,16,12,6273,CUSTOMER,All Devices,2/25/19
158064,175617,4095,688,2890,444,40,20,10,3,4757,CUSTOMER,Desktop,2/25/19
15417,19229,46,0,0,1,38,2,3,2,63,PROSPECT,Mobile Phone,2/25/19
305779,347063,1265,186,502,150,323,58,17,29,1841,All Visitors,Mobile Phone,2/25/19
11,13,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,2/25/19
358322,393410,5000,698,2922,519,413,123,47,278,5907,All Visitors,Desktop,2/25/19
1,1,0,0,0,0,0,0,0,0,0,All Visitors,E-Reader,2/25/19
2415,2798,4,0,0,1,1,1,1,0,4,PROSPECT,Tablet,2/25/19
37113,40710,407,46,258,41,26,16,9,11,490,All Visitors,Tablet,2/25/19
36643,44230,119,2,0,11,77,14,9,6,153,PROSPECT,All Devices,2/25/19
701911,782001,6673,930,3682,710,763,197,73,318,8183,All Visitors,All Devices,2/25/19
18804,22186,68,2,0,9,37,11,5,4,85,PROSPECT,Desktop,2/25/19
12,17,1,0,0,0,1,0,0,0,1,PROSPECT,Gaming Console,2/25/19
212441,235275,355,7,6,26,242,46,9,19,658,UNDETERMINED,Mobile Phone,2/25/19
778,817,1,0,0,0,1,0,0,0,2,All Visitors,Gaming Console,2/25/19
182449,195607,837,8,32,66,336,92,32,271,1080,UNDETERMINED,Desktop,2/25/19
48238,54800,485,144,242,64,20,6,4,5,561,CUSTOMER,Mobile Phone,2/4/19
29149,31096,179,22,89,22,26,7,9,4,213,UNDETERMINED,Tablet,2/4/19
454120,491645,2423,326,940,241,534,153,58,171,2995,UNDETERMINED,All Devices,2/4/19
7674,8307,175,31,130,12,0,2,0,0,190,CUSTOMER,Tablet,2/4/19
97,110,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,2/4/19
166224,183081,3073,775,1851,354,53,16,9,15,3410,CUSTOMER,All Devices,2/4/19
110329,119964,2413,600,1479,278,33,8,5,10,2660,CUSTOMER,Desktop,2/4/19
11000,12942,60,0,0,1,46,6,2,5,76,PROSPECT,Mobile Phone,2/4/19
267604,301804,1168,225,409,133,286,74,19,22,1467,All Visitors,Mobile Phone,2/4/19
7,10,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,2/4/19
330860,362635,4104,824,2163,443,357,104,43,170,4678,All Visitors,Desktop,2/4/19
1718,1926,6,0,0,0,5,0,0,1,6,PROSPECT,Tablet,2/4/19
37896,41329,360,53,219,34,31,9,9,5,407,All Visitors,Tablet,2/4/19
26897,31177,137,1,0,15,88,18,4,11,167,PROSPECT,All Devices,2/4/19
636388,705903,5633,1102,2791,610,675,187,71,197,6545,All Visitors,All Devices,2/4/19
14170,16294,70,1,0,14,36,12,2,5,84,PROSPECT,Desktop,2/4/19
13,15,1,0,0,0,1,0,0,0,1,PROSPECT,Gaming Console,2/4/19
213592,234062,623,81,167,68,220,62,13,12,836,UNDETERMINED,Mobile Phone,2/4/19
115,135,1,0,0,0,1,0,0,0,1,All Visitors,Gaming Console,2/4/19
211332,226377,1621,223,684,151,288,84,36,155,1950,UNDETERMINED,Desktop,2/4/19
14675,16722,342,52,239,39,6,5,1,0,412,CUSTOMER,Tablet,2/17/19
123,131,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,2/17/19
199403,229374,3721,651,2531,413,73,38,8,7,4510,CUSTOMER,All Devices,2/17/19
104522,117684,2616,427,1869,250,42,19,6,3,3151,CUSTOMER,Desktop,2/17/19
19692,24795,76,0,1,1,59,12,2,1,104,PROSPECT,Mobile Phone,2/17/19
299109,340092,1086,174,424,147,237,74,18,12,1505,All Visitors,Mobile Phone,2/17/19
12,13,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,2/17/19
260962,287832,3235,442,1874,282,336,112,42,147,3937,All Visitors,Desktop,2/17/19
3693,4331,7,0,0,1,4,0,1,1,10,PROSPECT,Tablet,2/17/19
43254,48002,401,53,239,45,36,16,5,7,486,All Visitors,Tablet,2/17/19
39630,48146,157,0,1,3,114,22,12,5,202,PROSPECT,All Devices,2/17/19
603395,676100,4722,669,2537,474,609,202,65,166,5892,All Visitors,All Devices,2/17/19
16230,18990,74,0,0,1,51,10,9,3,89,PROSPECT,Desktop,2/17/19
22,30,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,2/17/19
199485,220342,247,2,0,22,153,48,15,7,455,UNDETERMINED,Mobile Phone,2/17/19
157,174,0,0,0,0,0,0,0,0,0,All Visitors,Gaming Console,2/17/19
140452,151158,545,15,5,31,243,83,27,141,699,UNDETERMINED,Desktop,2/17/19
80231,94955,763,172,423,124,25,14,1,4,953,CUSTOMER,Mobile Phone,2/17/19
24943,26949,52,1,0,5,26,11,3,6,64,UNDETERMINED,Tablet,2/17/19
364962,398580,844,18,5,58,422,142,45,154,1204,UNDETERMINED,All Devices,2/17/19
259925,283751,3792,595,2291,302,315,91,46,152,4576,All Visitors,Desktop,3/17/19
1,1,0,0,0,0,0,0,0,0,0,All Visitors,E-Reader,3/17/19
3474,4158,11,0,0,1,7,0,1,2,12,PROSPECT,Tablet,3/17/19
37436,41258,419,64,259,35,27,9,11,14,496,All Visitors,Tablet,3/17/19
39836,48418,159,1,0,8,93,30,17,10,231,PROSPECT,All Devices,3/17/19
571953,632784,5458,853,3082,470,563,197,92,201,6776,All Visitors,All Devices,3/17/19
14915,17648,72,1,0,3,37,16,9,6,108,PROSPECT,Desktop,3/17/19
451,472,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,3/17/19
177973,192835,282,3,1,26,134,67,22,29,504,UNDETERMINED,Mobile Phone,3/17/19
2390,2461,0,0,0,0,0,0,0,0,0,All Visitors,Gaming Console,3/17/19
136378,144032,507,3,2,38,229,61,32,142,723,UNDETERMINED,Desktop,3/17/19
1,1,0,0,0,0,0,0,0,0,0,UNDETERMINED,E-Reader,3/17/19
73535,86338,889,191,531,103,38,16,6,4,1139,CUSTOMER,Mobile Phone,3/17/19
20290,21589,52,1,0,11,15,5,8,12,73,UNDETERMINED,Tablet,3/17/19
336549,360432,841,7,3,75,378,133,62,183,1290,UNDETERMINED,All Devices,3/17/19
13710,15511,356,63,259,23,5,4,2,0,411,CUSTOMER,Tablet,3/17/19
1926,1975,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,3/17/19
196150,223934,4458,845,3079,387,92,34,13,8,5299,CUSTOMER,All Devices,3/17/19
108924,122071,3213,591,2289,261,49,14,5,4,3764,CUSTOMER,Desktop,3/17/19
20998,26140,76,0,0,4,49,14,7,2,111,PROSPECT,Mobile Phone,3/17/19
272256,305313,1247,194,532,133,221,97,35,35,1750,All Visitors,Mobile Phone,3/17/19
13,14,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,3/17/19
631231,708694,5145,796,2699,497,667,203,60,223,6305,All Visitors,All Devices,2/16/19
19629,23212,103,3,0,5,68,15,4,8,135,PROSPECT,Desktop,2/16/19
24,33,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,2/16/19
196988,216661,257,5,1,36,148,50,9,8,470,UNDETERMINED,Mobile Phone,2/16/19
130,148,2,0,0,0,1,0,0,1,2,All Visitors,Gaming Console,2/16/19
143518,153980,612,9,2,33,280,74,21,193,774,UNDETERMINED,Desktop,2/16/19
88728,105965,947,236,523,129,33,16,5,5,1186,CUSTOMER,Mobile Phone,2/16/19
23217,24825,49,0,0,4,28,9,5,3,66,UNDETERMINED,Tablet,2/16/19
363779,395564,920,14,3,73,457,133,35,205,1301,UNDETERMINED,All Devices,2/16/19
15588,17767,374,59,269,34,8,2,1,1,425,CUSTOMER,Tablet,2/16/19
92,98,2,0,0,0,1,0,0,1,2,UNDETERMINED,Gaming Console,2/16/19
220569,254992,4048,779,2696,414,89,43,18,9,4815,CUSTOMER,All Devices,2/16/19
116293,131243,2727,484,1904,251,48,25,12,3,3226,CUSTOMER,Desktop,2/16/19
23749,29871,64,0,0,5,46,10,2,1,86,PROSPECT,Mobile Phone,2/16/19
309146,352497,1268,241,524,170,227,76,16,14,1732,All Visitors,Mobile Phone,2/16/19
14,17,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,2/16/19
279123,308435,3442,496,1906,289,396,114,37,204,4126,All Visitors,Desktop,2/16/19
4192,5022,10,0,0,0,7,2,1,0,12,PROSPECT,Tablet,2/16/19
42938,47614,433,59,269,38,43,13,7,4,503,All Visitors,Tablet,2/16/19
47579,58138,177,3,0,10,121,27,7,9,233,PROSPECT,All Devices,2/16/19
3956,4608,10,0,0,0,8,2,0,0,11,PROSPECT,Tablet,2/1/19
39403,43026,371,59,223,33,45,5,3,3,430,All Visitors,Tablet,2/1/19
46556,56093,217,0,1,8,163,25,6,14,278,PROSPECT,All Devices,2/1/19
644248,712904,5735,1149,2765,539,854,189,53,186,6918,All Visitors,All Devices,2/1/19
21987,25659,98,0,1,5,63,16,3,10,124,PROSPECT,Desktop,2/1/19
20,27,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,2/1/19
171096,186388,346,7,1,29,224,65,12,8,566,UNDETERMINED,Mobile Phone,2/1/19
114,140,3,2,0,1,0,0,0,0,3,All Visitors,Gaming Console,2/1/19
158023,167979,586,8,5,38,311,59,19,146,782,UNDETERMINED,Desktop,2/1/19
79575,93524,833,224,447,85,51,20,2,4,1070,CUSTOMER,Mobile Phone,2/1/19
21371,22695,40,1,0,6,26,2,2,3,67,UNDETERMINED,Tablet,2/1/19
350533,377153,972,16,6,73,561,126,33,157,1406,UNDETERMINED,All Devices,2/1/19
14111,15723,321,58,223,27,11,1,1,0,352,CUSTOMER,Tablet,2/1/19
77,91,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,2/1/19
247743,279658,4546,1133,2758,458,130,38,14,15,5274,CUSTOMER,All Devices,2/1/19
154086,170389,3389,849,2088,345,68,17,11,11,3872,CUSTOMER,Desktop,2/1/19
20600,25799,109,0,0,3,92,7,3,4,143,PROSPECT,Mobile Phone,2/1/19
271047,305711,1288,231,448,117,367,92,17,16,1773,All Visitors,Mobile Phone,2/1/19
17,22,3,2,0,1,0,0,0,0,3,CUSTOMER,Gaming Console,2/1/19
333776,364027,4073,857,2094,388,442,92,33,167,4768,All Visitors,Desktop,2/1/19
347215,374847,695,10,7,27,397,93,37,124,1081,UNDETERMINED,All Devices,2/2/19
15636,17685,372,56,274,34,4,2,0,2,418,CUSTOMER,Tablet,2/2/19
139,147,0,0,0,0,0,0,0,0,0,UNDETERMINED,Gaming Console,2/2/19
212136,242741,4288,890,2928,332,78,35,11,14,4902,CUSTOMER,All Devices,2/2/19
113781,127232,2946,592,2079,200,42,15,9,9,3347,CUSTOMER,Desktop,2/2/19
20558,25746,88,0,0,2,68,14,4,0,124,PROSPECT,Mobile Phone,2/2/19
289723,327158,1326,245,576,113,285,72,18,17,1748,All Visitors,Mobile Phone,2/2/19
13,18,0,0,0,0,0,0,0,0,0,CUSTOMER,Gaming Console,2/2/19
266785,292507,3398,599,2081,212,279,75,37,115,3982,All Visitors,Desktop,2/2/19
3923,4666,8,0,0,0,5,2,0,1,10,PROSPECT,Tablet,2/2/19
44256,48778,430,57,278,37,34,10,4,10,499,All Visitors,Tablet,2/2/19
42078,51046,171,1,0,3,123,29,11,4,234,PROSPECT,All Devices,2/2/19
600854,668634,5154,901,2935,362,598,157,59,142,6176,All Visitors,All Devices,2/2/19
17583,20608,75,1,0,1,50,13,7,3,101,PROSPECT,Desktop,2/2/19
17,26,0,0,0,0,0,0,0,0,0,PROSPECT,Gaming Console,2/2/19
186678,203606,268,3,1,13,185,40,12,14,480,UNDETERMINED,Mobile Phone,2/2/19
169,191,0,0,0,0,0,0,0,0,0,All Visitors,Gaming Console,2/2/19
135686,144667,377,6,2,11,187,47,21,103,542,UNDETERMINED,Desktop,2/2/19
82752,97806,970,242,575,98,32,18,2,3,1153,CUSTOMER,Mobile Phone,2/2/19
24742,26427,50,1,4,3,25,6,4,7,71,UNDETERMINED,Tablet,2/2/19
40190,48560,161,1,0,17,119,17,3,4,212,PROSPECT,All Devices,2/18/19
682920,763846,6217,1019,3129,786,783,179,80,241,7697,All Visitors,All Devices,2/18/19
19964,23434,74,1,0,8,52,10,2,1,101,PROSPECT,Desktop,2/18/19
17,24,1,0,0,0,1,0,0,0,1,PROSPECT,Gaming Console,2/18/19
