Visitor,Order,Customer,Device,Date,Rate,Source
186678,268,Undetermined,Mobile Phone,2/2/2019,0.0014356271226389824,Undetermined Mobile Phone
135686,377,Undetermined,Desktop,2/2/2019,0.002778473829282313,Undetermined Desktop
82752,970,Customer,Mobile Phone,2/2/2019,0.011721771075019335,Customer Mobile Phone
24742,50,Undetermined,Tablet,2/2/2019,0.0020208552259316143,Undetermined Tablet
19964,74,Prospect,Desktop,2/18/2019,0.003706672009617311,Prospect Desktop
204151,338,Undetermined,Mobile Phone,2/18/2019,0.0016556372488990992,Undetermined Mobile Phone
176174,797,Undetermined,Desktop,2/18/2019,0.0045239365627164066,Undetermined Desktop
80245,815,Customer,Mobile Phone,2/18/2019,0.01015639603713627,Customer Mobile Phone
23521,54,Undetermined,Tablet,2/18/2019,0.002295820755920241,Undetermined Tablet
14472,386,Customer,Tablet,2/18/2019,0.026672194582642344,Customer Tablet
146963,3666,Customer,Desktop,2/18/2019,0.024945054197314968,Customer Desktop
17265,81,Prospect,Mobile Phone,2/18/2019,0.004691572545612511,Prospect Mobile Phone
2954,5,Prospect,Tablet,2/18/2019,0.0016926201760324984,Prospect Tablet
16640,295,Customer,Tablet,3/14/2019,0.017728365384615384,Customer Tablet
183308,4342,Customer,Desktop,3/14/2019,0.023686909463853188,Customer Desktop
19984,108,Prospect,Mobile Phone,3/14/2019,0.005404323458767014,Prospect Mobile Phone
2847,6,Prospect,Tablet,3/14/2019,0.002107481559536354,Prospect Tablet
20668,106,Prospect,Desktop,3/14/2019,0.005128701374104897,Prospect Desktop
205591,335,Undetermined,Mobile Phone,3/14/2019,0.0016294487599165333,Undetermined Mobile Phone
172120,642,Undetermined,Desktop,3/14/2019,0.0037299558447594704,Undetermined Desktop
100942,930,Customer,Mobile Phone,3/14/2019,0.00921321154722514,Customer Mobile Phone
19702,54,Undetermined,Tablet,3/14/2019,0.002740838493553954,Undetermined Tablet
118793,3296,Customer,Desktop,2/9/2019,0.027745742594260603,Customer Desktop
23234,91,Prospect,Mobile Phone,2/9/2019,0.003916673840061978,Prospect Mobile Phone
4242,10,Prospect,Tablet,2/9/2019,0.002357378595002357,Prospect Tablet
19224,82,Prospect,Desktop,2/9/2019,0.004265501456512693,Prospect Desktop
208904,287,Undetermined,Mobile Phone,2/9/2019,0.0013738367862750351,Undetermined Mobile Phone
144951,388,Undetermined,Desktop,2/9/2019,0.002676766631482363,Undetermined Desktop
91830,1021,Customer,Mobile Phone,2/9/2019,0.01111837090275509,Customer Mobile Phone
26137,32,Undetermined,Tablet,2/9/2019,0.001224318016604813,Undetermined Tablet
16583,445,Customer,Tablet,2/9/2019,0.026834710245432068,Customer Tablet
16977,122,Prospect,Desktop,3/26/2019,0.007186193084761736,Prospect Desktop
224407,457,Undetermined,Mobile Phone,3/26/2019,0.002036478362974417,Undetermined Mobile Phone
121250,716,Undetermined,Desktop,3/26/2019,0.005905154639175258,Undetermined Desktop
94023,781,Customer,Mobile Phone,3/26/2019,0.00830647820214203,Customer Mobile Phone
20906,94,Undetermined,Tablet,3/26/2019,0.004496316846838228,Undetermined Tablet
13932,296,Customer,Tablet,3/26/2019,0.02124605225380419,Customer Tablet
134847,3666,Customer,Desktop,3/26/2019,0.02718636677122961,Customer Desktop
26284,107,Prospect,Mobile Phone,3/26/2019,0.004070917668543601,Prospect Mobile Phone
3336,18,Prospect,Tablet,3/26/2019,0.00539568345323741,Prospect Tablet
3156,5,Prospect,Tablet,3/13/2019,0.0015842839036755384,Prospect Tablet
21701,98,Prospect,Desktop,3/13/2019,0.004515920925302982,Prospect Desktop
175752,238,Undetermined,Mobile Phone,3/13/2019,0.0013541808912558605,Undetermined Mobile Phone
167040,624,Undetermined,Desktop,3/13/2019,0.003735632183908046,Undetermined Desktop
99062,1013,Customer,Mobile Phone,3/13/2019,0.010225919121358342,Customer Mobile Phone
18732,32,Undetermined,Tablet,3/13/2019,0.001708306641042067,Undetermined Tablet
14354,322,Customer,Tablet,3/13/2019,0.022432771352932982,Customer Tablet
171423,4154,Customer,Desktop,3/13/2019,0.024232454221428862,Customer Desktop
21951,77,Prospect,Mobile Phone,3/13/2019,0.003507812855906337,Prospect Mobile Phone
16735,362,Customer,Tablet,2/21/2019,0.021631311622348368,Customer Tablet
196099,5207,Customer,Desktop,2/21/2019,0.02655291459925854,Customer Desktop
